Lambeth Invoices Over Specified Nett Amount,,,,,
,,,,,
Report Date:† 02/07/2012† 16:59:18,,,,,
,,,,,
Parameters: ,,,,,
Invoice Approval Date From:† 01-JUN-2012,,,,,
Invoice Approval Date To:††††† 30-JUN-2012,,,,,
Invoice Threshold Nett Amt:†† 500,,,,,
,,,,,
Body,Department,Supplier Name,Invoice Creation Date,Invoice Nett Amount,Subj Description
Lambeth,Children and Young People's Service,Allied Healthcare (Uk) Ltd,07/06/2012,1092.54,FAMILY SUPPORT PACKAGES(S17)
Lambeth,Children and Young People's Service,Allied Healthcare (Uk) Ltd,07/06/2012,1556.28,FAMILY SUPPORT PACKAGES(S17)
Lambeth,Children and Young People's Service,Allied Healthcare (Uk) Ltd,07/06/2012,2483.76,FAMILY SUPPORT PACKAGES(S17)
Lambeth,Children and Young People's Service,Allied Healthcare (Uk) Ltd,07/06/2012,1210.44,FAMILY SUPPORT PACKAGES(S17)
Lambeth,Children and Young People's Service,Allied Healthcare (Uk) Ltd,07/06/2012,1127.04,FAMILY SUPPORT PACKAGES(S17)
Lambeth,Children and Young People's Service,Allied Healthcare (Uk) Ltd,11/06/2012,1210.44,FAMILY SUPPORT PACKAGES(S17)
Lambeth,Children and Young People's Service,Allied Supported Living Ltd,07/06/2012861.49,PRIVATE RESIDENTIAL HOMES
Lambeth,Office of the Chief Executive/Finance and Resources,Allstar Business Solutions Ltd,01/06/2012,7866.27,FUEL & OIL - GENERAL
Lambeth,Office of the Chief Executive/Finance and Resources,Allstar Business Solutions Ltd,14/06/2012,1889.19,FUEL & OIL - GENERAL
Lambeth,Office of the Chief Executive/Finance and Resources,Allstar Business Solutions Ltd,14/06/2012,1408.33,FUEL & OIL - GENERAL
Lambeth,Office of the Chief Executive/Finance and Resources,Allstar Business Solutions Ltd,14/06/2012,1793.04,FUEL & OIL - GENERAL
Lambeth,Office of the Chief Executive/Finance and Resources,Allstar Business Solutions Ltd,14/06/2012,1440.22,FUEL & OIL - GENERAL
Lambeth,Office of the Chief Executive/Finance and Resources,Allstar Business Solutions Ltd,14/06/2012,1098.18,FUEL & OIL - GENERAL
Lambeth,Office of the Chief Executive/Finance and Resources,Allstar Business Solutions Ltd,22/06/2012,1578.34,FUEL & OIL - GENERAL
Lambeth,"Housing, Regeneration and Environment",Alphatrack Systems Ltd,06/06/2012,42554.05,CCTV AND DOOR ENTRY - PLANNED
Lambeth,"Housing, Regeneration and Environment",Alphatrack Systems Ltd,06/06/2012,20077.59,CCTV AND DOOR ENTRY - PLANNED
Lambeth,Adults' and Community Services,Amber Care (East Anglia) Ltd,13/06/2012,7968.76,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Amber Care (East Anglia) Ltd,13/06/2012862,TRAVEL EXPENSES - CLIENTS
Lambeth,Adults' and Community Services,Amber Care (East Anglia) Ltd,13/06/2012,2250.20,DAY CARE PRIVATE SPOT
Lambeth,"Housing, Regeneration and Environment",Amber Construction Services Limited,20/10/2010,1674.92,DECORATION† EXTERNAL
Lambeth,Adults' and Community Services,AmicusHorizon Ltd,08/06/2012,1920.04,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,AmicusHorizon Ltd,26/06/2012,3573.80,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,AmicusHorizon Ltd,31/05/2012,3573.80,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,ANA Treatment Centres Ltd,13/06/2012535.71,DAY CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,Anchor Trust,08/06/2012,2554.44,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,Angles Guest House,21/06/2012930,BED & BREAKFAST EXPENSES - CLIENTS
Lambeth,Adults' and Community Services,Angles Guest House,28/05/2012900,BED & BREAKFAST EXPENSES - CLIENTS
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Lerman & Muirhead,06/06/2012,7083.33,OPPOSITION COSTS - HOUSING DISREPAIR
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Lerman & Muirhead,06/06/2012,5104.43,DAMAGES - HOUSING DISREPAIR
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Lerman & Muirhead,25/06/2012,2750.00,OPPOSITION COSTS - HOUSING DISREPAIR
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Lerman & Muirhead,25/06/2012,4250.00,OPPOSITION COSTS - HOUSING DISREPAIR
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Solicitors,13/06/2012,4113.04,INSURANCE FUND PROVISION - HRA
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Solicitors,13/06/2012,6480.50,INSURANCE FUND PROVISION - GF
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Solicitors,13/06/2012,4118.78,INSURANCE FUND PROVISION - HRA
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Gold Solicitors,13/06/2012,4750.00,INSURANCE FUND PROVISION - HRA
Lambeth,Office of the Chief Executive/Finance and Resources,Anthony Ogunfeibo & Co,18/06/2012,1337.28,LEGAL COSTS - DISREPAIR
Lambeth,"Housing, Regeneration and Environment",Apex Lifts,06/06/2012,12254.27,LIFTS - PLANNED
Lambeth,"Housing, Regeneration and Environment",Apex Lifts,06/06/2012,36045.37,LIFTS - PLANNED
Lambeth,"Housing, Regeneration and Environment",Apollo Property Services Group Ld,07/06/2012,65152.83,PLANNED MAINTENANCE CONSTRUCTION/WORKS
Lambeth,"Housing, Regeneration and Environment",Apollo Property Services Group Ld,13/06/2012,101200.13,CLEANING - ESTATES
Lambeth,"Housing, Regeneration and Environment",Apollo Property Services Group Ld,13/06/2012,37674.50,CLEANING - ESTATES
Lambeth,Adults' and Community Services,Aquarius Group,25/06/2012,1047.56,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Arlington House Residential Home,25/06/2012879.05,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,"Housing, Regeneration and Environment",Ascendit Lifts Ltd,11/06/2012,1930.00,ADAPTATIONS
Lambeth,"Housing, Regeneration and Environment",Ascendit Lifts Ltd,20/06/2012,3645.00,GRANTS-MISC ITEMS CS
Lambeth,Adults' and Community Services,Ashbrook House Ltd,25/06/2012,3975.30,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashbrook House Ltd,25/06/2012,3135.90,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashchurch House Ltd,06/06/2012,5268.60,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashcroft Care Services,01/06/2012,5765.34,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashcroft Care Services,01/06/2012,8047.38,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashcroft Care Services,01/06/2012,5579.36,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashcroft Care Services,01/06/2012,7787.79,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashdene House Ltd,06/06/2012,2703.60,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashdene House Ltd,06/06/2012,3133.80,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Office of the Chief Executive/Finance and Resources,Ashfords,08/06/2012,21423.75,LEGAL FEES
Lambeth,Office of the Chief Executive/Finance and Resources,Ashfords,20/06/2012,7043.38,LEGAL FEES
Lambeth,Adults' and Community Services,Ashgate House,06/06/2012,4395.08,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashmill Residential Care Home Ltd,25/06/2012,2880.65,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Ashmount Care Home with Nursing,25/06/2012760.63,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Ashton Lodge,25/06/2012,1203.43,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Askews and Holts Library Services Ltd,31/05/2012518.12,LIBRARIES INVENTORY
Lambeth,Adults' and Community Services,Askews and Holts Library Services Ltd,31/05/2012,3240.00,LIBRARIES INVENTORY
Lambeth,"Housing, Regeneration and Environment",Aspect Construction,17/10/2011,4663.00,GRANTS-MISC ITEMS CS
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,08/06/2012,2588.04,ACCOMMODATION BASED SERVICES
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,25/06/2012,2046.25,RESIDENTIAL CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,25/06/2012,2357.14,RESIDENTIAL CARE VOLUNTARY SPOT
Lambeth,Adults' and Community Services,ASRA Greater London Housing Association Ltd,25/06/2012,1711.15,RESIDENTIAL CARE VOLUNTARY SPOT
Lambeth,Children and Young People's Service,Assessment and Qualifications Alliance,31/05/2012764.9,EXAMINATION FEES
Lambeth,Adults' and Community Services,Assisi Community Care,25/06/2012,1261.04,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Assisi Community Care,25/06/2012,1261.02,RESIDENTIAL CARE VOLUNTARY SPOT
Lambeth,Children and Young People's Service,Associated Care Services Ltd,31/05/2012,1028.57,SUPPORTED HOUSING - PRIVATE
Lambeth,Children and Young People's Service,Associated Care Services Ltd,31/05/2012,1062.86,SUPPORTED HOUSING - PRIVATE
Lambeth,Children and Young People's Service,Associated Care Services Ltd,31/05/2012,1028.57,SUPPORTED HOUSING - PRIVATE
Lambeth,"Housing, Regeneration and Environment",Association for Public Service Excellence,07/06/2012,3335.00,PLANNED MAINTENANCE CONSTRUCTION/WORKS
Lambeth,"Housing, Regeneration and Environment",Association Of Town Centre Management,31/05/2012825,PROJECT COSTS
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1205.92,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2308.03,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1523.57,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1159.29,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012934.71,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1072.50,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,3296.36,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1021.46,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1046.57,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1020.86,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012926.53,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012891.43,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1500.00,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1105.80,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1457.14,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1457.14,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1298.57,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1955.19,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2047.07,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2597.14,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2270.05,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1016.19,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1476.65,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012949.15,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,3377.57,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,3000.00,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,3632.14,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1901.57,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2571.43,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1072.29,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2785.71,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1060.50,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1471.71,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012926.74,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012990.77,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1471.71,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1457.14,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1542.86,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1542.86,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1125.26,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1088.96,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1505.71,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,1457.14,SUPPORTED HOUSING - PRIVATE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2970.02,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2874.21,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2878.57,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2785.71,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,3014.97,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,Adults' and Community Services,Astra Homes Ltd,25/06/2012,2917.71,CLIENT CONTRIBUTIONS RESIDENTIAL CARE
Lambeth,"Housing, Regeneration and Environment",Atlantic Lodge (Housing) Ltd,25/06/2012725,RENT - B&B - SHARED
Lambeth,"Housing, Regeneration and Environment",Atlantic Lodge (Housing) Ltd,27/06/2012594,RENT - B&B - SHARED
Lambeth,Office of the Chief Executive/Finance and Resources,Automotive Leasing Limited,06/06/2012,3023.10,HIRED VEHICLES
Lambeth,Office of the Chief Executive/Finance and Resources,Automotive Leasing Limited,06/06/2012670.9,HIRED VEHICLES
Lambeth,Office of the Chief Executive/Finance and Resources,Automotive Leasing Limited,06/06/2012654.5,HIRED VEHICLES
Lambeth,Office of the Chief Executive/Finance and Resources,Automotive Leasing Limited,22/06/2012,3023.10,HIRED VEHICLES
Lambeth,Office of the Chief Executive/Finance and Resources,Automotive Leasing Limited,22/06/2012670.9,HIRED VEHICLES
Lambeth,Office of the Chief Executive/Finance and Resources,Automotive Leasing Limited,22/06/2012654.5,HIRED VEHICLES
Lambeth,Adults' and Community Services,Autumn Lodge Care Home,25/06/2012,1328.78,RESIDENTIAL CARE PRIVATE SPOT
Lambeth,Children and Young People's Service,Ayerst Environmental Ltd,11/06/2012,3404.10,CONTRACTORS FEES
Lambeth,Children and Young People's Service,BAAF,14/06/2012699,ADVERTISING
Lambeth,Children and Young People's Service,BAAF,14/06/2012,1604.00,ADVERTISING
Lambeth,Children and Young People's Service,Baily Garner,25/05/2012999.46,CONSULTANT ARCHITECT-FEES
Lambeth,Children and Young People's Service,Banya Family Placement Agency,15/06/2012,3491.10,INDEPENDENT FOSTERING
Lambeth,Children and Young People's Service,Banya Family Placement Agency,15/06/2012,3607.47,INDEPENDENT FOSTERING
Lambeth,Children and Young People's Service,Banya Family Placement Agency,19/06/2012,6982.20,INDEPENDENT FOSTERING
Lambeth,Children and Young People's Service,Banya Family Placement Agency,19/06/2012930.96,INDEPENDENT FOSTERING
Lambeth,Children and Young People's Service,Banya Family Placement Agency,19/06/2012930.96,INDEPENDENT FOSTERING
Lambeth,Children and Young People's Service,Banya Family Placement Agency,19/06/2012838.7,INDEPENDENT FOSTERING
Lambeth,Children and Young People's Service,Banya Family Placement Agency,31/05/2012,1812.00,INDEPENDENT FOSTERING
Lambeth,Adults' and Community Services,Barchester Healthcare Homes Ltd,25/06/2012,1688.75,NURSING CARE PRIVATE SPOT
Lambeth,Adults' and Community Services,Barchester Healthcare Ltd,25/06/2012,1848.43,NURSING CARE PRIVATE SPOT
Lambeth,Children and Young People's Service,Barnardo Services Ltd,14/11/2011560,PROFESSIONAL FEES AND CHARGES
Lambeth,Children and Young People's Service,Barnardo Services Ltd,29/06/2012,9620.00,LEARNING RESOURCE (NOT ICT) - SCHOOLS
Lambeth,Children and Young People's Service,Be My Family Fostering Agency Ltd,14/06/2012,5292.01,INDEPENDENT FOSTERING
Lambeth,Children and Young People's Service,Be My Family Fostering Agency Ltd,19/06/2012,5121.30,INDEPENDENT FOSTERING
