Freedom of Information Disclosure Log - September 2011,,
Ref,Received,Summary
149969,23/09/11,Comms between GL Hern and Planning dept re: development at 8 Albert Embankment
149972,23/09/11,Road resurfacing plans - Poplar  Walk SE24
150013,23/09/11,Comms between Gordon Ingram Assoc & Planning from 1 Apr to 6 Apr 2011
150016,23/09/11,comms b/w Four Communications & Planning re: 8 Albert Embankment from 22 Mar to 22 Sep 2011
150020,23/09/11,Stats on number of Empty properties/ empty for longer than 3 and 6 months
150030,23/09/11,Civil Enf Off - Photograph Protocol
150031,23/09/11,Info on Road Sweeping and Regulations
150040,23/09/11,Job Evaluation Outcome
150041,23/09/11,Info on Libraries/stock/fines etc
150042,23/09/11,info on parking tickets issued in Cottington St on 25/08/11
150043,23/09/11,Info on the Council Bank A/C's & bank charges for last 3 years
150066,26/09/11,A copy of relevant Traffic Order and proof that Camera is an approved device
150076,26/09/11,supply a list of vacant properties in your Borough
150078,26/09/11,Revenue from bus lane PCN's relating to motocycles etc
150106,27/09/11,SWkrs not Registered in the LA area they are working in
150109,27/09/11,Camera 139 and contravention Code 34 being in a bus lane
150121,27/09/11,How many hours per year does the average street light burn
150126,27/09/11,Complaints against Civil Enfo Officers
150130,27/09/11,"from 1/1/09 to 1/9/11 PCN raw data set, date/time/location/contravention etc"
150134,27/09/11,Compensation paid to Teachers / Teaching Assistants 2010/11
150137,27/09/11,How much spent paying Private Detectives in last 5years
150140,27/09/11,Highest Revenue from Council Run Car Park etc
150151,27/09/11,request for KPIS and council tax data information
150152,27/09/11,data of PCN's issued in CPZ P -Poets Corner from 1/09/11to 23/09/11
150153,27/09/11,Street Signs and Lines Quarterly report for Dulwich & Norwood Roads
150155,27/09/11,Stats on Residents at risk of losing their home/ in temp accom etc
150159,27/09/11,info on Social Services
150160,27/09/11,Details fo E/er Pension Contributions and the Pension Scheme Deficit
150167,27/09/11,SORN policy on Lambeth Estates
150169,27/09/11,Copy of our Contracts Register
150201,28/09/11,Redundancy Policy and voluntary Severance etc from 1996
150217,28/09/11,Parking Restriction Sign outside a property in Dulwich SE24
150222,28/09/11,Info regarding business with a training consultancy
150234,29/09/11,how many tenants are at risk of eviction
150248,29/09/11,Spend in 2009/10 and 2010/11 on translation services
150249,29/09/11,Org Structure Charts of all departments
150268,29/09/11,Business Rates Group 6 info
150269,29/09/11,"Bad Debt written off in 2008/9, 2009/10 and 2010/11"
150276,30/09/11,Contract / agreement for Consultants to advice on transportation tasks
150281,30/09/11,Info relating to PCN's issued and not issued
150292,30/09/11,Spend per Residential Unit per child per week etc
150296,30/09/11,No of FOI Request in 2009/10 and 2010/11 and how many were translated
150308,30/09/11,Compensation/Damages paid out to Employees
150312,30/09/11,Info on Regeneration of Windrush Square and Ritzy Tables
